Время,SuperTrend,Цвет
2020-06-03 18:30:00+05:00,5475.191056332999,1
2020-06-03 19:00:00+05:00,5490.6219506996995,1
2020-06-03 19:30:00+05:00,5503.484755629729,1
2020-06-03 20:00:00+05:00,5503.484755629729,1
2020-06-03 20:30:00+05:00,5503.484755629729,1
2020-06-04 12:00:00+05:00,5562.904363145927,-1
2020-06-04 12:30:00+05:00,5540.7389268313345,-1
2020-06-04 13:00:00+05:00,5540.7389268313345,-1
2020-06-04 13:30:00+05:00,5540.7389268313345,-1
2020-06-04 14:00:00+05:00,5524.903177660043,-1
2020-06-04 14:30:00+05:00,5514.287859894039,-1
2020-06-04 15:00:00+05:00,5514.287859894039,-1
2020-06-04 15:30:00+05:00,5514.287859894039,-1
2020-06-04 16:00:00+05:00,5514.287859894039,-1
2020-06-04 16:30:00+05:00,5514.287859894039,-1
2020-06-04 17:00:00+05:00,5514.287859894039,-1
2020-06-04 17:30:00+05:00,5514.287859894039,-1
2020-06-04 18:00:00+05:00,5514.287859894039,-1
2020-06-04 18:30:00+05:00,5514.287859894039,-1
2020-06-04 19:00:00+05:00,5514.0682488459115,-1
2020-06-04 19:30:00+05:00,5514.0682488459115,-1
2020-06-04 20:00:00+05:00,5514.0682488459115,-1
2020-06-04 20:30:00+05:00,5498.37650340867,-1
2020-06-05 12:00:00+05:00,5498.37650340867,-1
2020-06-05 12:30:00+05:00,5498.37650340867,-1
2020-06-05 13:00:00+05:00,5498.37650340867,-1
2020-06-05 13:30:00+05:00,5498.37650340867,-1
2020-06-05 14:00:00+05:00,5498.37650340867,-1
2020-06-05 14:30:00+05:00,5498.37650340867,-1
2020-06-05 15:00:00+05:00,5498.37650340867,-1
2020-06-05 15:30:00+05:00,5498.37650340867,-1
2020-06-05 16:00:00+05:00,5498.37650340867,-1
2020-06-05 16:30:00+05:00,5498.37650340867,-1
2020-06-05 17:00:00+05:00,5498.37650340867,-1
2020-06-05 17:30:00+05:00,5498.37650340867,-1
2020-06-05 18:00:00+05:00,5498.37650340867,-1
2020-06-05 18:30:00+05:00,5498.37650340867,-1
2020-06-05 19:00:00+05:00,5498.37650340867,-1
2020-06-05 19:30:00+05:00,5457.869385041516,1
2020-06-05 20:00:00+05:00,5457.869385041516,1
2020-06-05 20:30:00+05:00,5457.869385041516,1
2020-06-08 12:00:00+05:00,5457.869385041516,1
2020-06-08 12:30:00+05:00,5457.869385041516,1
2020-06-08 13:00:00+05:00,5457.869385041516,1
2020-06-08 13:30:00+05:00,5457.869385041516,1
2020-06-08 14:00:00+05:00,5461.609001895264,1
2020-06-08 14:30:00+05:00,5461.609001895264,1
2020-06-08 15:00:00+05:00,5461.609001895264,1
2020-06-08 15:30:00+05:00,5461.609001895264,1
2020-06-08 16:00:00+05:00,5516.648433856518,-1
2020-06-08 16:30:00+05:00,5516.648433856518,-1
2020-06-08 17:00:00+05:00,5507.920231423779,-1
2020-06-08 17:30:00+05:00,5487.703208281401,-1
2020-06-08 18:00:00+05:00,5470.357887453261,-1
2020-06-08 18:30:00+05:00,5456.447098707935,-1
2020-06-08 19:00:00+05:00,5436.352388837142,-1
2020-06-08 19:30:00+05:00,5422.442149953427,-1
2020-06-08 20:00:00+05:00,5418.522934958085,-1
2020-06-08 20:30:00+05:00,5418.522934958085,-1
2020-06-09 12:00:00+05:00,5418.522934958085,-1
2020-06-09 12:30:00+05:00,5399.436219584444,-1
2020-06-09 13:00:00+05:00,5387.117597625999,-1
2020-06-09 13:30:00+05:00,5377.4808378634,-1
2020-06-09 14:00:00+05:00,5377.4808378634,-1
2020-06-09 14:30:00+05:00,5377.059478669354,-1
2020-06-09 15:00:00+05:00,5372.128530802418,-1
2020-06-09 15:30:00+05:00,5367.765677722176,-1
2020-06-09 16:00:00+05:00,5367.765677722176,-1
2020-06-09 16:30:00+05:00,5367.765677722176,-1
2020-06-09 17:00:00+05:00,5319.093320940534,1
2020-06-09 17:30:00+05:00,5319.093320940534,1
2020-06-09 18:00:00+05:00,5319.093320940534,1
2020-06-09 18:30:00+05:00,5333.7122809656485,1
2020-06-09 19:00:00+05:00,5333.7122809656485,1
2020-06-09 19:30:00+05:00,5362.806947582176,1
2020-06-09 20:00:00+05:00,5362.806947582176,1
2020-06-09 20:30:00+05:00,5362.806947582176,1
2020-06-10 12:00:00+05:00,5440.016735212594,-1
2020-06-10 12:30:00+05:00,5398.840061691335,-1
2020-06-10 13:00:00+05:00,5394.531055522201,-1
2020-06-10 13:30:00+05:00,5394.531055522201,-1
2020-06-10 14:00:00+05:00,5394.531055522201,-1
2020-06-10 14:30:00+05:00,5394.531055522201,-1
2020-06-10 15:00:00+05:00,5394.531055522201,-1
2020-06-10 15:30:00+05:00,5394.531055522201,-1
2020-06-10 16:00:00+05:00,5336.418680822226,1
2020-06-10 16:30:00+05:00,5354.826812740003,1
2020-06-10 17:00:00+05:00,5362.169131466003,1
2020-06-10 17:30:00+05:00,5362.169131466003,1
2020-06-10 18:00:00+05:00,5362.169131466003,1
2020-06-10 18:30:00+05:00,5413.941453161284,-1
2020-06-10 19:00:00+05:00,5399.747307845156,-1
2020-06-10 19:30:00+05:00,5399.747307845156,-1
2020-06-10 20:00:00+05:00,5391.022819354576,-1
2020-06-10 20:30:00+05:00,5391.022819354576,-1
2020-06-11 12:00:00+05:00,5351.023483677206,-1
2020-06-11 12:30:00+05:00,5351.023483677206,-1
2020-06-11 13:00:00+05:00,5346.0590217785375,-1
