Value Classic,Value Signal,Time
-7.249862169413063,3.18362866848881,2022-06-24 13:30:00+05:00
-9.344679416283725,0.6779670515343033,2022-06-24 14:00:00+05:00
-13.15293020039826,-2.0882123988522094,2022-06-24 14:30:00+05:00
-16.6647742027626,-5.003524759634288,2022-06-24 15:00:00+05:00
-19.106648857575237,-7.824149579222479,2022-06-24 15:30:00+05:00
-20.482970608694814,-10.355913785116947,2022-06-24 16:00:00+05:00
-19.41333128995757,-12.167397286085073,2022-06-24 16:30:00+05:00
-20.109045997044177,-13.755727028276894,2022-06-24 17:00:00+05:00
-20.624388904339867,-15.129459403489488,2022-06-24 17:30:00+05:00
-18.75892378721437,-15.855352280234467,2022-06-24 18:00:00+05:00
-16.604967655138353,-16.005275355215243,2022-06-24 18:30:00+05:00
-14.64839270658831,-15.733898825489858,2022-06-24 19:00:00+05:00
-14.10522552232078,-15.408164164856043,2022-06-24 19:30:00+05:00
-11.684166041515255,-14.663364540187887,2022-06-24 20:00:00+05:00
-10.053032077448279,-13.741298047639967,2022-06-24 20:30:00+05:00
-7.5835905719545735,-12.509756552502889,2022-06-25 12:00:00+05:00
-4.605155311844101,-10.928836304371133,2022-06-25 12:30:00+05:00
-3.296066087406871,-9.402282260978282,2022-06-25 13:00:00+05:00
-0.79696693905953,-7.681219196594532,2022-06-25 13:30:00+05:00
0.013403811799435061,-6.1422945949157395,2022-06-25 14:00:00+05:00
2.8817751543620034,-4.337480645060191,2022-06-25 14:30:00+05:00
3.7401085406499988,-2.7219628079181533,2022-06-25 15:00:00+05:00
5.367120640555186,-1.1041461182234855,2022-06-25 15:30:00+05:00
5.065011936600058,0.1296854927412231,2022-06-25 16:00:00+05:00
4.810482189209324,1.0658448320348433,2022-06-25 16:30:00+05:00
4.4365858664477855,1.7399930389174318,2022-06-25 17:00:00+05:00
4.1329738088261365,2.218589192899173,2022-06-25 17:30:00+05:00
3.6884575379399394,2.5125628619073264,2022-06-25 18:00:00+05:00
3.298156100203414,2.6696815095665443,2022-06-25 18:30:00+05:00
2.8351204313194103,2.7027692939171177,2022-06-25 19:00:00+05:00
3.796159489244019,2.921447332982498,2022-06-25 19:30:00+05:00
3.189609925062541,2.975079851398507,2022-06-25 20:00:00+05:00
3.994283515233292,3.178920584165464,2022-06-25 20:30:00+05:00
3.262967570035471,3.1957299813394657,2022-06-26 12:00:00+05:00
4.008939777416344,3.3583719405548416,2022-06-26 12:30:00+05:00
4.587591053541473,3.604215763152168,2022-06-26 13:00:00+05:00
3.67243075929764,3.6178587623812626,2022-06-26 13:30:00+05:00
4.628673483074635,3.8200217065199373,2022-06-26 14:00:00+05:00
4.208308967708035,3.8976791587575574,2022-06-26 14:30:00+05:00
4.788270569996712,4.075797441005388,2022-06-26 15:00:00+05:00
3.752191818855863,4.011076316575483,2022-06-26 15:30:00+05:00
3.05723334637878,3.820307722536143,2022-06-26 16:00:00+05:00
3.83403530274245,3.8230532385774048,2022-06-26 16:30:00+05:00
2.7636204787795577,3.611166686617836,2022-06-26 17:00:00+05:00
3.5288097707880297,3.594695303451875,2022-06-26 17:30:00+05:00
3.370153976540678,3.5497870380696357,2022-06-26 18:00:00+05:00
1.9709774542498053,3.23402512130567,2022-06-26 18:30:00+05:00
0.21411861252090603,2.6300438195487175,2022-06-26 19:15:00+05:00
-0.20751288584324357,2.062532478470325,2022-06-26 19:45:00+05:00
-1.5326371323017156,1.3434985563159172,2022-06-26 20:15:00+05:00
-2.5533739392722055,0.5641240571982926,2022-06-27 12:00:00+05:00
