,SuperTrend,Цвет
310,5344.859901151512,-1
311,5344.859901151512,-1
312,5323.253617939452,-1
313,5314.178256145507,-1
314,5314.178256145507,-1
315,5314.178256145507,-1
316,5314.178256145507,-1
317,5307.922753857067,-1
318,5294.13047847136,-1
319,5279.717430624224,-1
320,5279.717430624224,-1
321,5279.717430624224,-1
322,5279.717430624224,-1
323,5307.504993767447,1
324,5307.504993767447,1
325,5393.428455048368,-1
326,5366.785609543532,-1
327,5366.785609543532,-1
328,5365.69634373026,-1
329,5349.676709357234,-1
330,5349.676709357234,-1
331,5349.676709357234,-1
332,5349.676709357234,-1
333,5349.676709357234,-1
334,5349.676709357234,-1
335,5345.725439347518,-1
336,5345.725439347518,-1
337,5345.725439347518,-1
338,5345.725439347518,-1
339,5345.725439347518,-1
340,5308.038342819684,1
341,5323.409508537716,1
342,5327.368557683944,1
343,5343.53170191555,1
344,5363.853531723995,1
345,5365.8681785515955,1
346,5380.831360696436,1
347,5380.831360696436,1
348,5380.831360696436,1
349,5380.831360696436,1
350,5380.831360696436,1
351,5380.831360696436,1
352,5380.831360696436,1
353,5421.884559231113,-1
354,5408.746103308002,-1
355,5408.746103308002,-1
356,5408.746103308002,-1
357,5419.425909311533,-1
358,5419.425909311533,-1
359,5398.535013457658,1
360,5398.535013457658,1
361,5398.813360900703,1
362,5398.813360900703,1
363,5410.096322329569,1
364,5415.111690096613,1
365,5415.111690096613,1
366,5415.111690096613,1
367,5415.111690096613,1
368,5415.111690096613,1
369,5415.111690096613,1
370,5429.820260946633,1
371,5448.663234851971,1
372,5474.646911366774,1
373,5494.957220230096,1
374,5509.861498207087,1
375,5509.861498207087,1
376,5509.861498207087,1
377,5560.365717807034,-1
378,5534.17914602633,-1
379,5534.17914602633,-1
380,5534.17914602633,-1
381,5522.398597453195,-1
382,5508.208737707875,-1
383,5505.912863937088,-1
384,5505.912863937088,-1
385,5505.912863937088,-1
386,5505.912863937088,-1
387,5505.912863937088,-1
388,5505.912863937088,-1
389,5505.912863937088,-1
390,5505.912863937088,-1
391,5505.912863937088,-1
392,5505.912863937088,-1
393,5505.912863937088,-1
394,5495.478695686109,-1
395,5495.478695686109,-1
396,5495.478695686109,-1
397,5495.478695686109,-1
398,5495.478695686109,-1
399,5495.478695686109,-1
400,5495.478695686109,-1
401,5495.478695686109,-1
402,5484.908353543939,-1
403,5484.908353543939,-1
404,5484.908353543939,-1
405,5484.908353543939,-1
406,5484.908353543939,-1
407,5447.42799631584,1
408,5450.460196684256,1
409,5459.2141770158305,1
410,5459.2141770158305,1
411,5462.9559833828225,1
412,5462.9559833828225,1
413,5512.4881534599135,-1
414,5512.4881534599135,-1
415,5512.4881534599135,-1
416,5512.4881534599135,-1
417,5512.4881534599135,-1
418,5512.4881534599135,-1
419,5512.4881534599135,-1
420,5512.4881534599135,-1
421,5510.111205502941,-1
422,5507.875084952647,-1
423,5500.412576457382,-1
424,5490.046318811644,-1
425,5460.766686930479,-1
426,5460.590018237432,-1
427,5429.0060164136885,-1
428,5411.23041477232,-1
429,5405.207373295088,-1
430,5405.207373295088,-1
431,5405.207373295088,-1
432,5395.241175132119,-1
433,5382.742057618907,-1
434,5369.5178518570165,-1
435,5361.291066671315,-1
436,5361.291066671315,-1
437,5361.291066671315,-1
438,5361.218187603388,-1
439,5361.218187603388,-1
440,5321.933268041255,1
441,5321.933268041255,1
442,5321.933268041255,1
443,5321.933268041255,1
444,5341.257667161868,1
445,5341.257667161868,1
446,5361.5837104011125,1
447,5362.075339361001,1
448,5363.092805424902,1
449,5363.092805424902,1
450,5389.91732760583,-1
451,5389.91732760583,-1
452,5389.91732760583,-1
453,5389.91732760583,-1
454,5389.91732760583,-1
455,5389.91732760583,-1
456,5389.91732760583,-1
457,5389.91732760583,-1
458,5351.826395522363,1
459,5356.418755970126,1
460,5356.418755970126,1
461,5356.418755970126,1
462,5356.418755970126,1
463,5397.416904208,-1
464,5397.416904208,-1
465,5386.04519240848,-1
466,5386.04519240848,-1
467,5341.771605850869,-1
468,5341.771605850869,-1
469,5341.771605850869,-1
470,5341.771605850869,-1
471,5332.046300598755,-1
472,5332.046300598755,-1
473,5332.046300598755,-1
474,5332.046300598755,-1
475,5332.046300598755,-1
476,5322.791462540559,-1
477,5322.791462540559,-1
478,5322.791462540559,-1
479,5322.791462540559,-1
480,5322.791462540559,-1
481,5322.791462540559,-1
482,5322.791462540559,-1
483,5322.791462540559,-1
484,5296.998428645846,1
485,5240.401414218739,-1
486,5240.401414218739,-1
487,5167.602354482822,1
488,5186.617119034539,1
489,5186.617119034539,1
490,5186.617119034539,1
491,5186.617119034539,1
492,5186.617119034539,1
493,5186.617119034539,1
494,5186.617119034539,1
495,5186.617119034539,1
496,5186.617119034539,1
497,5186.617119034539,1
498,5186.617119034539,1
499,5186.617119034539,1
500,5186.617119034539,1
501,5180.070895941334,1
502,5211.1388063472,1
503,5270.34992571248,1
504,5297.639933141233,1
505,5305.10093982711,1
506,5338.090845844398,1
507,5365.231761259959,1
508,5365.231761259959,1
509,5365.231761259959,1
510,5374.15620395851,1
511,5374.15620395851,1
512,5377.751525206393,1
513,5383.526372685754,1
514,5397.123735417178,1
515,5399.1863618754605,1
516,5407.992725687915,1
517,5422.918453119123,1
518,5422.918453119123,1
519,5428.151052973511,-1
520,5428.151052973511,-1
521,5428.151052973511,-1
522,5428.151052973511,-1
523,5428.151052973511,-1
524,5428.151052973511,-1
525,5428.151052973511,-1
526,5428.151052973511,-1
527,5411.009381017069,-1
528,5411.009381017069,-1
529,5410.162598623826,-1
530,5410.162598623826,-1
531,5410.162598623826,-1
532,5410.162598623826,-1
533,5382.984505957093,-1
534,5382.984505957093,-1
535,5368.184949825245,-1
536,5359.81645484272,-1
537,5359.81645484272,-1
538,5359.81645484272,-1
539,5359.81645484272,-1
540,5359.81645484272,-1
541,5359.81645484272,-1
542,5359.81645484272,-1
543,5359.81645484272,-1
544,5359.81645484272,-1
545,5359.81645484272,-1
546,5355.238287515347,-1
547,5345.464458763812,-1
548,5345.464458763812,-1
549,5345.464458763812,-1
550,5345.464458763812,-1
551,5345.464458763812,-1
552,5345.464458763812,-1
553,5308.7393863201005,1
554,5311.490447688091,1
555,5322.241402919281,1
556,5327.942262627354,1
557,5364.698036364618,1
558,5385.403232728157,1
559,5388.912909455341,1
560,5388.912909455341,1
561,5389.354456658826,1
562,5409.144010992944,1
563,5425.9796098936495,1
564,5425.9796098936495,1
565,5425.9796098936495,1
566,5426.53638561247,1
567,5442.9327470512235,1
568,5442.9327470512235,1
569,5442.9327470512235,1
570,5442.9327470512235,1
571,5442.9327470512235,1
572,5442.9327470512235,1
573,5442.9327470512235,1
574,5472.1988026269155,-1
575,5451.653922364224,-1
576,5451.653922364224,-1
577,5451.653922364224,-1
578,5430.646540596481,1
579,5454.906886536833,1
580,5454.906886536833,1
581,5454.906886536833,1
582,5454.906886536833,1
583,5454.906886536833,1
584,5454.906886536833,1
585,5482.2749585619795,-1
586,5453.647462705781,-1
587,5453.647462705781,-1
588,5452.149444791683,-1
589,5452.149444791683,-1
590,5420.988949718737,1
591,5420.988949718737,1
592,5420.988949718737,1
593,5421.783444344959,1
594,5421.783444344959,1
595,5421.783444344959,1
596,5422.2801309274755,1
597,5427.0271178347275,1
598,5432.299406051255,1
599,5437.49446544613,1
600,5437.49446544613,1
601,5442.245517011364,1
602,5447.845965310228,1
603,5457.411368779206,1
604,5462.345231901285,1
605,5462.345231901285,1
606,5482.230362159959,-1
607,5474.832325943963,-1
608,5474.832325943963,-1
609,5474.832325943963,-1
610,5474.832325943963,-1
611,5474.832325943963,-1
612,5474.832325943963,-1
613,5474.832325943963,-1
614,5467.948156518787,-1
615,5467.948156518787,-1
616,5467.948156518787,-1
617,5467.948156518787,-1
618,5467.948156518787,-1
619,5467.948156518787,-1
620,5467.948156518787,-1
621,5442.574169676349,1
622,5442.574169676349,1
623,5442.574169676349,1
624,5442.574169676349,1
625,5442.574169676349,1
626,5442.574169676349,1
627,5442.574169676349,1
628,5442.574169676349,1
629,5442.574169676349,1
630,5442.574169676349,1
631,5376.953995276948,-1
632,5374.933595749253,-1
633,5371.215236174327,-1
634,5371.215236174327,-1
635,5371.215236174327,-1
636,5371.215236174327,-1
637,5371.215236174327,-1
638,5365.666964808579,-1
639,5364.375268327721,-1
640,5354.037741494949,-1
641,5350.583967345454,-1
642,5350.583967345454,-1
643,5350.583967345454,-1
644,5350.583967345454,-1
645,5315.527259024648,1
646,5326.274533122183,1
647,5335.897079809964,1
648,5335.897079809964,1
649,5344.469134646071,1
650,5345.997221181464,1
651,5348.597499063318,1
652,5356.837749156986,1
653,5356.837749156986,1
654,5356.837749156986,1
655,5360.763219135443,1
656,5370.311897221898,1
657,5375.855707499709,1
658,5377.220136749738,1
659,5377.220136749738,1
660,5377.220136749738,1
661,5397.9110203094415,-1
662,5397.9110203094415,-1
663,5397.9110203094415,-1
664,5397.9110203094415,-1
665,5397.9110203094415,-1
666,5396.345880882522,-1
667,5396.345880882522,-1
668,5396.345880882522,-1
669,5391.929897163359,-1
670,5388.461907447023,-1
671,5388.461907447023,-1
672,5388.461907447023,-1
673,5378.600230528879,-1
674,5354.9652074759915,-1
675,5340.9186867283925,-1
676,5338.026818055553,-1
677,5338.026818055553,-1
678,5338.026818055553,-1
679,5338.026818055553,-1
680,5338.026818055553,-1
681,5338.026818055553,-1
682,5338.026818055553,-1
683,5338.026818055553,-1
684,5334.197554153551,-1
685,5333.152798738196,-1
686,5333.152798738196,-1
687,5329.806266977939,-1
688,5318.8756402801455,-1
689,5304.713076252131,-1
690,5304.713076252131,-1
691,5304.713076252131,-1
692,5304.713076252131,-1
693,5304.713076252131,-1
694,5304.713076252131,-1
695,5304.713076252131,-1
696,5304.713076252131,-1
697,5304.713076252131,-1
698,5304.713076252131,-1
699,5304.713076252131,-1
700,5304.713076252131,-1
701,5304.713076252131,-1
702,5304.713076252131,-1
703,5304.713076252131,-1
704,5279.111120360396,1
705,5290.600008324356,1
706,5296.76500749192,1
707,5296.76500749192,1
708,5296.76500749192,1
709,5296.76500749192,1
710,5296.76500749192,1
711,5296.76500749192,1
712,5296.76500749192,1
713,5296.76500749192,1
714,5298.430985133176,1
715,5298.430985133176,1
716,5299.736597957873,1
717,5299.962938162085,1
718,5312.766644345877,1
719,5312.766644345877,1
720,5312.766644345877,1
721,5313.491133728145,1
722,5329.59202035533,1
723,5329.59202035533,1
724,5329.59202035533,1
725,5329.59202035533,1
726,5329.59202035533,1
727,5329.59202035533,1
728,5329.59202035533,1
729,5329.59202035533,1
730,5329.59202035533,1
731,5345.26536239919,-1
732,5334.863826159271,-1
733,5315.327443543344,-1
734,5315.327443543344,-1
735,5312.332729270109,-1
736,5312.332729270109,-1
737,5312.332729270109,-1
738,5312.332729270109,-1
739,5312.332729270109,-1
740,5312.332729270109,-1
741,5312.332729270109,-1
742,5293.0098367965675,1
743,5314.6838531169105,1
744,5320.94046780522,1
745,5323.646421024698,1
746,5337.281778922228,1
747,5337.281778922228,1
748,5337.281778922228,1
749,5340.547166834304,1
750,5340.547166834304,1
751,5340.547166834304,1
752,5340.547166834304,1
753,5340.547166834304,1
754,5340.547166834304,1
755,5342.64317663959,1
756,5350.678858975631,1
757,5370.335973078068,1
758,5373.327375770261,1
759,5373.327375770261,1
760,5373.327375770261,1
761,5386.33390693652,1
762,5386.33390693652,1
763,5386.33390693652,1
764,5390.647918156723,1
765,5392.258126341051,1
766,5395.657313706945,1
767,5398.716582336251,1
768,5399.2199241026265,1
769,5399.2199241026265,1
770,5399.900638523127,1
771,5399.900638523127,1
772,5399.900638523127,1
773,5422.83243451664,-1
774,5408.524191064977,-1
775,5408.524191064977,-1
776,5408.524191064977,-1
777,5402.314885286368,-1
778,5402.314885286368,-1
779,5402.314885286368,-1
780,5402.314885286368,-1
781,5402.314885286368,-1
782,5388.484448387253,1
783,5388.484448387253,1
784,5388.484448387253,1
785,5390.241912874308,1
786,5390.241912874308,1
787,5390.241912874308,1
788,5393.42685448537,1
789,5403.534169036833,1
790,5403.534169036833,1
791,5403.534169036833,1
792,5403.534169036833,1
793,5403.534169036833,1
794,5404.52472147456,1
795,5405.222249327104,1
796,5406.300024394393,1
797,5406.300024394393,1
798,5406.300024394393,1
799,5455.505467783512,1
800,5465.6049210051615,1
801,5472.944428904645,1
802,5473.224986014181,1
803,5503.797512587237,-1
804,5500.267761328513,-1
805,5496.965985195662,-1
806,5490.544386676096,-1
807,5490.544386676096,-1
808,5488.793453207638,-1
809,5488.793453207638,-1
810,5488.793453207638,-1
811,5488.793453207638,-1
812,5488.793453207638,-1
813,5488.793453207638,-1
814,5487.923579566121,-1
815,5452.793778390492,1
816,5457.814400551442,1
817,5457.814400551442,1
818,5457.814400551442,1
819,5457.814400551442,1
820,5457.814400551442,1
821,5457.814400551442,1
