Value Classic,Value Signal,Time
-0.2277644844600779,-0.2729574518937018,2022-09-27 19:00:00+05:00
-0.19259900457812762,-0.256885762430587,2022-09-27 19:30:00+05:00
-0.15726879664123672,-0.23696236927271694,2022-09-27 20:00:00+05:00
-0.13896428846684827,-0.21736275311154324,2022-09-27 20:30:00+05:00
-0.12862355655282443,-0.19961491379979948,2022-09-27 21:00:00+05:00
-0.11347200241445066,-0.1823863315227297,2022-09-27 21:30:00+05:00
-0.09153306965744079,-0.16421567914967194,2022-09-27 22:00:00+05:00
-0.0677172896380469,-0.14491600124734694,2022-09-27 22:30:00+05:00
-0.040309287746634226,-0.1239946585472044,2022-09-27 23:00:00+05:00
-0.008006046518357124,-0.10079693614143495,2022-09-27 23:30:00+05:00
0.018191718506852084,-0.07699920521177754,2022-09-28 00:00:00+05:00
0.04489148633564355,-0.052621066902293324,2022-09-28 00:30:00+05:00
0.06051219917773665,-0.02999441368628733,2022-09-28 01:00:00+05:00
0.07166219129985762,-0.00966309268905834,2022-09-28 01:30:00+05:00
0.09553569291918862,0.011376664432591051,2022-09-28 12:00:00+05:00
0.10357862788681871,0.02981705712343659,2022-09-28 12:30:00+05:00
0.10670538744394165,0.0451947231875376,2022-09-28 13:00:00+05:00
0.12349466758193373,0.06085471206641683,2022-09-28 13:30:00+05:00
0.16834672845833865,0.08235311534480119,2022-09-28 14:00:00+05:00
0.1704576396468802,0.099974020205217,2022-09-28 14:30:00+05:00
0.14623732630859365,0.10922668142589234,2022-09-28 15:00:00+05:00
0.12160617111411298,0.11170257936353647,2022-09-28 15:30:00+05:00
0.11248938375531026,0.11185994024189125,2022-09-28 16:00:00+05:00
0.10605897333168812,0.11069974685985064,2022-09-28 16:30:00+05:00
0.11257578598176465,0.11107495468423344,2022-09-28 17:00:00+05:00
0.10882028836023849,0.11062402141943445,2022-09-28 17:30:00+05:00
0.09187429690907223,0.10687407651736201,2022-09-28 18:00:00+05:00
0.08233684723184354,0.10196663066025832,2022-09-28 18:30:00+05:00
0.07671819751627496,0.09691694403146164,2022-09-28 19:00:00+05:00
0.07104297967625328,0.09174215116041998,2022-09-28 19:30:00+05:00
0.062197233736906554,0.0858331676757173,2022-09-28 20:00:00+05:00
0.04618193724611075,0.07790292158979599,2022-09-28 20:30:00+05:00
0.04028753757673442,0.07037984478718368,2022-09-28 21:00:00+05:00
0.03361485934486552,0.06302684769872005,2022-09-28 21:30:00+05:00
0.029599343814542323,0.056341346921884514,2022-09-28 22:00:00+05:00
0.02691369097665941,0.05045581573283949,2022-09-28 22:30:00+05:00
0.025699419482855035,0.045504536482842604,2022-09-28 23:00:00+05:00
0.02644949828989951,0.04169352884425399,2022-09-28 23:30:00+05:00
0.03032549167673082,0.039419921410749355,2022-09-29 00:00:00+05:00
0.026634882601722865,0.03686291364894406,2022-09-29 00:30:00+05:00
0.02902389392356497,0.03529510970386825,2022-09-29 01:00:00+05:00
0.029767149017047245,0.03418951756650405,2022-09-29 01:30:00+05:00
0.019241013845075372,0.031199816822218316,2022-09-29 12:00:00+05:00
-0.0007921805357540279,0.02480141735062385,2022-09-29 12:30:00+05:00
-0.02325930228101214,0.015189273424296653,2022-09-29 13:00:00+05:00
-0.033018337240619644,0.005547751291313394,2022-09-29 13:30:00+05:00
-0.04866409583016207,-0.005294618132981699,2022-09-29 14:00:00+05:00
-0.06156417340510245,-0.01654852918740585,2022-09-29 14:30:00+05:00
-0.1020805968794285,-0.033654942725810384,2022-09-29 15:00:00+05:00
-0.13026775946610059,-0.052977506073868426,2022-09-29 15:30:00+05:00
-0.14807516309421942,-0.07199703747793862,2022-09-29 16:00:00+05:00
-0.16233366835164276,-0.09006436365267945,2022-09-29 16:30:00+05:00
-0.17285148679148676,-0.10662178828044092,2022-09-29 17:00:00+05:00
-0.16994833614701932,-0.1192870978537566,2022-09-29 17:30:00+05:00
